genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Halorubrum terrestre,267368,4p,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,64.6,,AB090169,57.7,28.0,41.0,37.0,45.0,50.0,22.0
Hydrogenispora ethanolica,1082276,LX-B,Bacteria,Firmicutes,,,,Hydrogenispora,,56.1,,AB669474,55.9,20.0,41.0,37.0,45.0,50.0,30.0
Deinobacterium chartae,521158,K4.1,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinobacterium,,66.8,,AM988777,57.4,12.0,41.0,37.0,45.0,50.0,38.0
Clostridium perfringens,1502,ATCC 3626,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000013285.1,28.4,3.3,M59103,51.2,20.0,41.0,37.0,45.0,50.0,30.0
Halorubrum orientale,376415,EJ-52,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,64.2,,AM235786,58.3,25.0,40.0,35.0,45.0,50.0,25.0
Halanaerobacter chitinivorans,42419,W5C8,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter,,34.8,,U32596,51.6,23.0,40.0,35.0,45.0,50.0,27.0
Prauserella coralliicola,1401264,SCSIO 11529,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,,70.2,,KF670858,58.6,22.0,36.5,28.0,45.0,50.0,28.0
Franconibacter daqui,2047724,DL503,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Franconibacter,,53.3,,KX865161,55.3,10.0,32.5,20.0,45.0,50.0,40.0
Maribacter thermophilus,1197874,HT7-2 ,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,38.8,,JQ988061,54.0,4.0,41.0,40.0,42.0,50.0,46.0
Paracoccus kondratievae,135740,GB,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,GCA_009301415.1,62.9,4.2,AF250332,55.8,30.0,40.0,38.0,42.0,50.0,20.0
Halolamina salina,1220023,WSY15-H3 ,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,,66.2,,JX192605,59.2,20.0,39.5,37.0,42.0,50.0,30.0
Haladaptatus pallidirubidus,1008152,YIM93656,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,,57.4,,JF449425,57.7,25.0,39.5,37.0,42.0,50.0,25.0
Methanobacterium congolense,118062,CT,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,GCA_900095295.1,38.5,2.5,AF233586,56.2,25.0,39.5,37.0,42.0,50.0,25.0
Kangiella profundi,1561924,FT102,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,GCA_002838765.1,43.8,2.7,KM209197,52.5,10.0,39.5,37.0,42.0,50.0,40.0
Longimonas halophila,1469170,SYD6,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Longimonas,,61.5,,KF955302,55.5,20.0,39.5,37.0,42.0,50.0,30.0
Salinibacillus xinjiangensis,1229268,J4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salinibacillus,,36.2,,JX402080,55.3,25.0,38.5,35.0,42.0,50.0,25.0
Paenibacillus lentus,1338368,CMG1240,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_003931855.1,46.5,5.3,KC800716,54.3,30.0,38.0,35.0,41.0,50.0,20.0
Haloplanus aerogenes,660522,TBN37,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,GCA_003856835.1,65.7,3.5,GQ282625,57.8,25.0,38.5,37.0,40.0,50.0,25.0
Halomicrobium katesii,437163,Al-5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,,52.4,,EF533994,57.6,35.0,38.5,37.0,40.0,50.0,15.0
Halorubrum ezzemoulense,337243,5.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,GCA_004126515.1,66.5,3.7,DQ118426,57.6,22.0,38.5,37.0,40.0,50.0,28.0
Halococcus dombrowskii,179637,H4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,,61.3,,AJ420376,58.9,28.0,38.5,37.0,40.0,50.0,22.0
Halosimplex carlsbadense,171164,2–9-1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,,64.4,,AF320478,58.3,22.0,38.5,37.0,40.0,50.0,28.0
Natrialba magadii,13769,MS3,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,GCA_000025625.1,61.0,4.4,X72495,57.5,20.0,38.5,37.0,40.0,50.0,30.0
Cohnella algarum,2044859,Pch-40,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,55.6,,KY864397,56.4,20.0,38.5,37.0,40.0,50.0,30.0
Ruegeria marisrubri,1685379,ZGT118,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,,62.9,,KP726356,56.2,20.0,38.5,37.0,40.0,50.0,30.0
Marinococcus tarijensis,1156576,SR-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,,48.6,,JQ413413,58.3,10.0,38.5,37.0,40.0,50.0,40.0
Halomonas sabkhae,626223,5月3日,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,57.0,,EF442769,55.7,30.0,38.5,37.0,40.0,50.0,20.0
Nocardiopsis baichengensis,280240,CCTCC AA 2040016,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,73.2,,AY619716,60.1,20.0,38.5,37.0,40.0,50.0,30.0
Halanaerobium alcaliphilum,39651,GSLS,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,31.0,,X81850,50.0,25.0,38.5,37.0,40.0,50.0,25.0
Marinilactibacillus piezotolerans,258723, LT20,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,,42.0,,AY485792,53.6,4.0,38.5,37.0,40.0,50.0,46.0
Halomonas mongoliensis,321265,Z-7009,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,67.9,,AY962236,55.8,15.0,38.0,36.0,40.0,50.0,35.0
Halorubrum aquaticum,387340,EN-2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,62.1,,AM268115,58.5,25.0,37.5,35.0,40.0,50.0,25.0
Natronococcus occultus,29288,SP4,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,GCA_000328685.1,64.6,4.3,Z28378,58.8,25.0,37.5,35.0,40.0,50.0,25.0
Xylanibacillus composti,1572762,K13,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Xylanibacillus,,52.3,,KX298897,55.2,30.0,37.5,35.0,40.0,50.0,20.0
Alteribacillus alkaliphilus,1448272,JC229,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alteribacillus,,40.2,,HG799487,57.1,20.0,37.5,35.0,40.0,50.0,30.0
Marinobacter szutsaonensis,485258,NTU-104,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,56.5,,EU164778,55.8,10.0,37.5,35.0,40.0,50.0,40.0
Bacillus seohaeanensis,284580, BH724,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,39.0,,AY667495,53.9,15.0,37.5,35.0,40.0,50.0,35.0
Saccharospirillum salsuginis,418750,YIM-Y25,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillum,,58.5,,EF177670,54.5,15.0,35.0,30.0,40.0,50.0,35.0
Lysobacter brunescens,262323,UASM D,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,67.7,,AB161360,56.3,4.0,35.0,30.0,40.0,50.0,46.0
Bacillus firmus,1399,ATCC 14575,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,41.4,,D16268,55.5,20.0,35.0,30.0,40.0,50.0,30.0
Brevibacterium salitolerans,1403566,TRM 415,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,,69.0,,GU117109,57.5,15.0,34.0,28.0,40.0,50.0,35.0
Methanobacterium bryantii,2161,PA,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,33.2,,M59124,53.9,25.0,38.0,37.0,39.0,50.0,25.0
Methanobacterium movens,493461,TS-2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,39.5,,EU366499,54.8,10.0,36.5,35.0,38.0,50.0,40.0
Methanobacterium flexile,490098,GH,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,36.4,,EU333914,55.5,10.0,36.5,35.0,38.0,50.0,40.0
Alkalibacillus almallahensis,1379154,S1LM8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalibacillus,,38.2,,KC968225,56.5,15.0,36.5,35.0,38.0,50.0,35.0
Halobacterium rubrum,1341552,TGN-42-S1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,,69.2,,KC914879,58.7,20.0,36.0,35.0,37.0,50.0,30.0
Alkalimicrobium pacificum,1463601,F15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Mameliella,,60.2,,KF924609,55.7,4.0,36.0,35.0,37.0,50.0,46.0
Idiomarina indica,1159017,SW104,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,49.8,,JN867053,54.6,12.0,36.0,35.0,37.0,50.0,38.0
Haloferax sulfurifontis,255616,M6,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,,60.5,,AY458601,56.8,18.0,34.5,32.0,37.0,50.0,32.0
Desulfoglaeba alkanexedens,361111,ALDC,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfoglaeba,GCA_005377625.1,59.3,3.4,DQ303457,59.0,17.0,34.0,31.0,37.0,50.0,33.0
Pullulanibacillus camelliae,1707096,7578-24,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Pullulanibacillus,,45.2,,KT438833,55.5,20.0,33.5,30.0,37.0,50.0,30.0
Aeromicrobium camelliae,1538144,YS17,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,66.0,,KJ874351,58.6,15.0,33.5,30.0,37.0,50.0,35.0
Bacillus malikii,1504265,NCCP-662,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.9,,AB968093,54.7,10.0,33.5,30.0,37.0,50.0,40.0
Pullulanibacillus pueri,1437324,YN3,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Pullulanibacillus,,38.7,,KF733796,55.7,20.0,33.5,30.0,37.0,50.0,30.0
Chelatococcus caeni,1348468,EBR-4-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Chelatococcaceae,Chelatococcus,,68.7,,KF056991,56.4,15.0,33.5,30.0,37.0,50.0,35.0
Cohnella formosensis,1145318,CC-Alfalfa-35,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,58.3,,JN806384,56.3,20.0,33.5,30.0,37.0,50.0,30.0
Rhodococcus trifolii,908250,T8,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,,,FR714843,58.5,15.0,33.5,30.0,37.0,50.0,35.0
Sporosarcina thermotolerans,633404,CCUG 53480 ,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,,,,FN298445,55.8,15.0,33.5,30.0,37.0,50.0,35.0
Pseudoxanthomonas icgebensis,643829,ICGEB-L15,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,69.9,,FJ838784,54.8,30.0,33.5,30.0,37.0,50.0,20.0
Paenibacillus xylanisolvens,634126,X11-1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.6,,AB495094,55.8,15.0,33.5,30.0,37.0,50.0,35.0
Bacillus cytotoxicus,580165,NVH 391-98 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000017425.1,35.9,4.1,AM747234,54.6,20.0,33.5,30.0,37.0,50.0,30.0
Bacillus safensis,561879,FO-36b,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_001895885.1,41.4,4.0,AF234854,55.2,10.0,33.5,30.0,37.0,50.0,40.0
Alkalibacillus silvisoli,392823,BM2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalibacillus,,37.0,,AB264528,55.3,20.0,33.5,30.0,37.0,50.0,30.0
Bacillus altitudinis,293387,Bi.FFUP1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_005849435.1,41.3,3.9,JX183147,55.0,20.0,33.5,30.0,37.0,50.0,30.0
Limnobacter humi,1778671,UCM-39,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,,59.0,,KT750338,54.9,15.0,32.5,28.0,37.0,50.0,35.0
Halobacillus mangrovi,402384,MS10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,GCA_002097535.1,41.6,4.1,DQ888316,56.0,10.0,34.0,33.0,35.0,50.0,40.0
Glycomyces lacisalsi,1737868,XHU 5089,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,,68.6,,KT895607,59.5,20.0,32.5,30.0,35.0,50.0,30.0
Egibacter rhizosphaerae,1670831,EGI 80759,Bacteria,Actinobacteria,Nitriliruptoria,Egibacterales,Egibacteraceae,Egibacter,GCA_004322855.1,71.7,4.6,KR605111,60.4,25.0,32.5,30.0,35.0,50.0,25.0
Bacillus vini,1476025,LAM0415,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35.2,,KJ005123,54.7,10.0,32.5,30.0,35.0,50.0,40.0
Muriicola marianensis,1324801,A6B8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muriicola,,47.1,,KC839612,53.8,4.0,32.5,30.0,35.0,50.0,46.0
Bacillus crassostreae,929098,JSM 100118,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35.9,,HQ419276,53.9,5.0,32.5,30.0,35.0,50.0,45.0
Lentibacillus persicus,640948,Amb31,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,,44.1,,FN376846,56.0,15.0,32.5,30.0,35.0,50.0,35.0
Virgibacillus salarius,447199,SA-Vb1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,,37.3,,AB197851,55.3,10.0,32.5,30.0,35.0,50.0,40.0
Lentibacillus salarius,284578,BH139,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,,43.0,,AY667493,55.1,15.0,32.5,30.0,35.0,50.0,35.0
Halomonas denitrificans,370769,M29,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,54.5,,AM229317,55.5,5.0,30.0,25.0,35.0,50.0,45.0
Microbacterium petrolearium,1652031,LAM0410 ,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,67.4,,KF697702,56.4,4.0,30.5,28.0,33.0,50.0,46.0
Bacillus zeae,1917180,JJ-247,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,44.5,,KY114944,56.5,10.0,29.0,28.0,30.0,50.0,40.0
Allostreptomyces psammosilenae,1892865,YIM DR4008,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Allostreptomyces,,75.3,,KX689228,59.4,10.0,29.0,28.0,30.0,50.0,40.0
Desulfovibrio psychrotolerans,415242,JS1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,49.3,,AM418397,55.3,10.0,29.0,28.0,30.0,50.0,40.0
Bacillus vallismortis,72361,DV1-F-3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_004116955.1,43.8,4.3,AB021198,55.2,5.0,29.0,28.0,30.0,50.0,45.0
Paenibacillus validus,44253,JCM 9077,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.0,,AB073203,55.8,5.0,29.0,28.0,30.0,50.0,45.0
Streptomyces rubrisoli,1387313,FXJ1.725,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,72.9,,KC137299,58.9,21.0,27.5,25.0,30.0,50.0,29.0
Myceligenerans xiligouense,253184,XLG9A10.2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Myceligenerans,,71.9,,AY354285,57.7,4.0,25.0,20.0,30.0,50.0,46.0
Paenibacillus koreensis,117184,YC300,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,54.0,,AF130254,56.0,10.0,23.0,38.0,8.0,50.0,40.0
Bifidobacterium thermacidophilum,246618,36,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,59.0,,AB016246,60.5,30.0,39.0,37.0,41.0,49.5,19.5
Marinospirillum alkaliphilum,148454,Z4,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinospirillum,,46.8,,AF275713,54.5,8.0,37.9,,,49.2,41.2
Exiguobacterium profundum,307643,10C,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,50.4,,AY818050,56.8,12.0,45.0,,,49.0,37.0
Maledivibacter halophilus,36842,M1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Maledivibacter,,26.9,,NR_125713,53.1,18.0,41.0,,,49.0,31.0
Galliscardovia ingluviei,1769422,RP51 ,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Galliscardovia,,44.3,,KT343146,57.4,15.0,39.0,,,49.0,34.0
Salinivibrio kushneri,1908198,AL184,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,GCA_005280275.1,50.7,3.4,LT627515,54.2,17.0,37.0,,,49.0,32.0
Bifidobacterium apri,1769423,RP115,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,59.4,,KT343145,60.8,10.0,37.0,,,49.0,39.0
Pseudoruegeria aquimaris,393663,SW-255,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudoruegeria,,67.0,,DQ675021,55.3,15.0,37.0,,,49.0,34.0
Celerinatantimonas diazotrophica,412034, S-G2-2,Bacteria,Proteobacteria,Gammaproteobacteria,,Celerinatantimonadaceae,Celerinatantimonas,,43.0,,DQ913890,54.3,17.0,31.0,,,49.0,32.0
Salinibacillus aidingensis,237684,7月25日,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salinibacillus,,39.9,,AY321436,55.8,28.0,43.5,40.0,47.0,49.0,21.0
Micromonospora chersina,47854,M956-1,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,,72.9,,X92628,60.3,18.0,40.5,37.0,44.0,49.0,31.0
Halothiobacillus kellyi,109263, Milos-BII1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,,62.0,,AF170419,54.8,4.0,39.5,37.0,42.0,49.0,45.5
Tenacibaculum mesophilum,104268,CIP107215,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,31.5,,AB032501,49.4,15.0,31.5,28.0,35.0,49.0,34.0
Bifidobacterium callitrichidarum,2052941,TRI 5,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,60.9,,KU298954,59.4,22.0,45.0,,,48.0,26.0
Haloimpatiens lingqiaonensis,1380675,ZC-CMC3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Haloimpatiens,,30.0,,KC869664,53.5,25.0,43.0,,,48.0,23.0
Tepidicaulis marinus,1333998,MA2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Tepidicaulis,,60.7,,AB821371,55.2,16.0,42.0,,,48.0,32.0
Bhargavaea indica,627618,KJW98,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Bhargavaea,,55.0,,FJ716700,57.7,15.0,42.0,,,48.0,33.0
Methanohalophilus portucalensis,39664,FDF-1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,,43.5,,AY290717,55.3,25.0,40.0,,,48.0,23.0
Sporosalibacterium faouarense,516123,SOL3f37,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sporosalibacterium,,30.7,,EU567322,54.5,20.0,40.0,,,48.0,28.0
Gracilibacillus alcaliphilus,1401441,SG103,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,41.3,,AB854047,55.3,13.0,39.0,,,48.0,35.0
Oceanobacillus indicireducens,1004261,A21,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,39.7,,AB623011,54.3,18.0,39.0,,,48.0,30.0
Bifidobacterium vespertilionis,2562524,RST 9,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,64.6,,MK722392,59.2,22.0,37.0,,,48.0,26.0
Bifidobacterium jacchi,2490545,MRM 9.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,61.5,,KP718960,61.6,22.0,37.0,,,48.0,26.0
Pantoea alhagi,1891675,LTYR-11Z,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,GCA_002101395.1,53.5,4.3,KX494924,56.3,7.0,37.0,,,48.0,41.0
Bifidobacterium catulorum,1630173,MRM 8.19,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,63.7,,KP718959,60.2,22.0,37.0,,,48.0,26.0
Lysinibacillus louembei,1470088,NM73,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,,38.0,,HG937791,53.7,10.0,37.0,,,48.0,38.0
Rheinheimera nanhaiensis,1163621,E407-8,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,,51.0,,FJ169968,53.5,10.0,37.0,,,48.0,38.0
Proteiniborus ethanoligenes,415015,GW,Bacteria,Firmicutes,Clostridia,Clostridiales,,Proteiniborus,,38.0,,EF116488,53.4,20.0,37.0,,,48.0,28.0
Halobacillus yeomjeoni,311194,MSS-402,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,42.9,,AY881246,56.0,15.0,37.0,,,48.0,33.0
Piscibacillus salipiscarius,299480,RBU1-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Piscibacillus,,36.7,,AB194046,55.5,15.0,37.0,,,48.0,33.0
Syntrophobacter sulfatireducens,283702,TB8106,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,,58.5,,AY651787,56.9,20.0,37.0,,,48.0,28.0
Microbulbifer maritimus,247022,TF-17,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,,59.9,,AY377986,55.4,15.0,37.0,,,48.0,33.0
Tindallia californiensis,159292,APO,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Tindallia,,44.4,,AF373919,54.3,10.0,37.0,,,48.0,38.0
Desulfonatronum thiodismutans,159290,MLF1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,,63.0,,AF373920,56.6,15.0,37.0,,,48.0,33.0
Desulfovibrio longreachensis,29505,AB16910a,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,69.0,,Z24450,57.5,20.0,37.0,,,48.0,28.0
Oceanobacillus polygoni,1235259,SA9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,40.6,,AB750685,54.3,5.0,35.0,,,48.0,43.0
Clostridium sulfidigenes,318464,SGB2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,32.3,,EF199998,51.9,18.0,34.0,,,48.0,30.0
Paenibacillus vini,1476024,LAM0504,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,43.0,,KJ005124,54.8,20.0,30.0,,,48.0,28.0
Halomonas salifodinae,438745,BC7,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,65.5,,EF527873,55.7,4.0,30.0,,,48.0,44.0
Halomonas caseinilytica,438744,AJ261,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,63.0,,EF527874,56.5,4.0,30.0,,,48.0,44.0
Halomonas subterranea,416874,ZG16,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,57.6,,EF144148,56.6,4.0,30.0,,,48.0,44.0
Halomonas arcis,416873,AJ282,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,56.7,,EF144147,56.3,4.0,30.0,,,48.0,44.0
Halomonas saccharevitans,416872,AJ275,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,65.9,,EF144149,55.8,4.0,30.0,,,48.0,44.0
Halobacillus kuroshimensis,302481,IS-Hb7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,42.1,,AB195680,55.9,9.0,25.0,,,48.0,39.0
Deinococcus misasensis,392413, TDMA-25,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,53.5,,AB264135,55.2,20.0,42.5,40.0,45.0,48.0,28.0
Caecibacterium sporoformans,915180,LMG 27730,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Caecibacterium,,32.5,,HQ452857,52.2,25.0,41.0,37.0,45.0,48.0,23.0
